"","time","lat","lon","address","site_number","no2","o3","pm25","source","year","month","day","pm_diff"
"164","2021-12-25",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.26,"PurpleAir",2021,12,25,-4.343
"165","2021-12-26",32.4871,-97.04825,"Worth Court",99159,NA,NA,28.167,"PurpleAir",2021,12,26,21.907
"166","2021-12-27",32.4871,-97.04825,"Worth Court",99159,NA,NA,28.5125,"PurpleAir",2021,12,27,0.345499999999998
"167","2021-12-28",32.4871,-97.04825,"Worth Court",99159,NA,NA,16.678,"PurpleAir",2021,12,28,-11.8345
"168","2021-12-29",32.4871,-97.04825,"Worth Court",99159,NA,NA,34.007,"PurpleAir",2021,12,29,17.329
"169","2021-12-30",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.072,"PurpleAir",2021,12,30,-26.935
"170","2021-12-31",32.4871,-97.04825,"Worth Court",99159,NA,NA,32.945,"PurpleAir",2021,12,31,25.873
"171","2022-01-01",32.4871,-97.04825,"Worth Court",99159,NA,NA,25.986,"PurpleAir",2022,1,1,-6.959
"172","2022-01-02",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.3035,"PurpleAir",2022,1,2,-21.6825
"173","2022-01-03",32.4871,-97.04825,"Worth Court",99159,NA,NA,13.747,"PurpleAir",2022,1,3,9.4435
"174","2022-01-04",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.2895,"PurpleAir",2022,1,4,-9.4575
"175","2022-01-05",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.189,"PurpleAir",2022,1,5,2.8995
"176","2022-01-06",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.0735,"PurpleAir",2022,1,6,-1.1155
"177","2022-01-07",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.823,"PurpleAir",2022,1,7,0.7495
"178","2022-01-08",32.4871,-97.04825,"Worth Court",99159,NA,NA,23.809,"PurpleAir",2022,1,8,16.986
"179","2022-01-09",32.4871,-97.04825,"Worth Court",99159,NA,NA,20.974,"PurpleAir",2022,1,9,-2.835
"180","2022-01-10",32.4871,-97.04825,"Worth Court",99159,NA,NA,2.5305,"PurpleAir",2022,1,10,-18.4435
"181","2022-01-11",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.0505,"PurpleAir",2022,1,11,8.52
"182","2022-01-12",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.0435,"PurpleAir",2022,1,12,-6.007
"183","2022-01-13",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.3835,"PurpleAir",2022,1,13,2.34
"184","2022-01-14",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.1985,"PurpleAir",2022,1,14,-1.185
"185","2022-01-15",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.685,"PurpleAir",2022,1,15,-1.5135
"186","2022-01-16",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.032,"PurpleAir",2022,1,16,6.347
"187","2022-01-17",32.4871,-97.04825,"Worth Court",99159,NA,NA,19.467,"PurpleAir",2022,1,17,8.435
"188","2022-01-18",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.535,"PurpleAir",2022,1,18,-13.932
"189","2022-01-19",32.4871,-97.04825,"Worth Court",99159,NA,NA,17.8635,"PurpleAir",2022,1,19,12.3285
"190","2022-01-20",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.6195,"PurpleAir",2022,1,20,-14.244
"191","2022-01-21",32.4871,-97.04825,"Worth Court",99159,NA,NA,2.2795,"PurpleAir",2022,1,21,-1.34
"192","2022-01-22",32.4871,-97.04825,"Worth Court",99159,NA,NA,14.81,"PurpleAir",2022,1,22,12.5305
"193","2022-01-23",32.4871,-97.04825,"Worth Court",99159,NA,NA,13.552,"PurpleAir",2022,1,23,-1.258
"194","2022-01-24",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.2095,"PurpleAir",2022,1,24,-9.3425
"195","2022-01-25",32.4871,-97.04825,"Worth Court",99159,NA,NA,18.5625,"PurpleAir",2022,1,25,14.353
"196","2022-01-26",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.0595,"PurpleAir",2022,1,26,-9.503
"197","2022-01-27",32.4871,-97.04825,"Worth Court",99159,NA,NA,18.7195,"PurpleAir",2022,1,27,9.66
"198","2022-01-28",32.4871,-97.04825,"Worth Court",99159,NA,NA,18.8645,"PurpleAir",2022,1,28,0.145
"199","2022-01-29",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.7795,"PurpleAir",2022,1,29,-13.085
"200","2022-01-30",32.4871,-97.04825,"Worth Court",99159,NA,NA,0.9965,"PurpleAir",2022,1,30,-4.783
"201","2022-01-31",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.408,"PurpleAir",2022,1,31,3.4115
"202","2022-02-01",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.9295,"PurpleAir",2022,2,1,0.5215
"203","2022-02-02",32.4871,-97.04825,"Worth Court",99159,NA,NA,9.4265,"PurpleAir",2022,2,2,4.497
"204","2022-02-03",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.9005,"PurpleAir",2022,2,3,-5.526
"205","2022-02-04",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.7405,"PurpleAir",2022,2,4,4.84
"206","2022-02-05",32.4871,-97.04825,"Worth Court",99159,NA,NA,13.9095,"PurpleAir",2022,2,5,5.169
"207","2022-02-06",32.4871,-97.04825,"Worth Court",99159,NA,NA,3.642,"PurpleAir",2022,2,6,-10.2675
"208","2022-02-07",32.4871,-97.04825,"Worth Court",99159,NA,NA,12.875,"PurpleAir",2022,2,7,9.233
"209","2022-02-08",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.905,"PurpleAir",2022,2,8,-6.97
"210","2022-02-09",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.226,"PurpleAir",2022,2,9,-0.678999999999999
