,time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,pm_diff,Note
185,09/26/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.314,PurpleAir,2021,9,26,1.834,
186,09/27/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.375,PurpleAir,2021,9,27,-1.939,
187,09/28/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.4245,PurpleAir,2021,9,28,0.0495,
188,09/29/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.6165,PurpleAir,2021,9,29,-1.808,
189,09/30/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.977,PurpleAir,2021,9,30,3.3605,
190,10/01/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.703,PurpleAir,2021,10,1,-3.274,
191,10/02/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.2075,PurpleAir,2021,10,2,1.5045,
192,10/03/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,5.1135,PurpleAir,2021,10,3,1.906,
193,10/04/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.3675,PurpleAir,2021,10,4,-0.746,
194,10/05/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.646,PurpleAir,2021,10,5,-0.7215,
195,10/06/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,3.669,PurpleAir,2021,10,6,0.023,
196,10/07/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.085,PurpleAir,2021,10,7,3.416,
197,10/08/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,8.955,PurpleAir,2021,10,8,1.87,
198,10/09/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,7.299,PurpleAir,2021,10,9,-1.656,
199,10/10/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,4.8475,PurpleAir,2021,10,10,-2.4515,
200,10/11/2021,29.878283,-98.14714,The sniffer @Little Star Ranch,9912,NA,NA,1.5015,PurpleAir,2021,10,11,-3.346,
